,y1,y2,y5,q1d,q2d,q5d
20230816101505_satd_lexpr10_lopt34_10_7336,0.02525494773116393,0.028719581819824567,0.03276258909141601,"(0.00021, -0.00052)","(0.00047, -0.00072)","(0.00092, -0.00034)"
20230816101532_satd_lexpr10_lopt34_10_4677,0.03015949203308361,0.03195517415645268,0.03397335778902694,"(0.00018, -0.00038)","(0.00028, -0.00029)","(0.00074, 0.00028)"
20230816165501_satd_lexpr10_lopt34_10_3975,0.02317281464476278,0.026297601307007982,0.031992825692577845,"(0.00031, -0.00045)","(0.00072, -0.00044)","(0.00175, 0.0009)"
20230816165506_satd_lexpr10_lopt34_10_8664,0.02585887070435266,0.028869183798293434,0.03480350008207027,"(0.00013, 5e-05)","(0.00025, 0.00012)","(0.00087, 0.0013)"
20230817091410_satd_lexpr10_lopt34_10_5018,0.015961893106138887,0.017199233528934148,0.016086204162289584,"(0.0003, -0.00022)","(0.00048, -0.00054)","(0.00088, -0.00066)"
20230817094253_satd_lexpr10_lopt34_10_1792,0.024398315007835757,0.026027842838689207,0.028865691091970548,"(0.00022, 0.00018)","(0.00046, 0.00037)","(0.00075, 0.00091)"
20230817094254_satd_lexpr10_lopt34_10_7451,0.02154783910104008,0.023196471177145867,0.02360104118680246,"(4e-05, -0.00024)","(9e-05, -0.00032)","(0.00032, -0.00076)"
20230817103215_satd_lexpr05_lopt34_10_4947,0.02662414771345072,0.026977675581202537,0.025739073538027655,"(0.00044, -0.00035)","(0.00065, -0.00081)","(0.00045, -0.00267)"
20230821092811_satd_lexpr10_lopt50_10_4104,0.019971913095667527,0.02104081849116629,0.024044903080608037,"(0.00011, -0.00094)","(0.00027, -0.00083)","(0.00142, 0.00094)"
20230821130710_satd_lexpr10_lopt50_10_7015,0.02178879267808154,0.0247474992310206,0.028570639071225336,"(0.00018, -0.00101)","(0.00057, -0.00083)","(0.0007, -0.00143)"
20230821130715_satd_lexpr10_lopt50_10_0805,0.022254003589183072,0.02207484347261862,0.02146582371995104,"(0.00031, -0.00032)","(0.00046, -0.00106)","(0.00103, -0.00124)"
20230821175227_satd_lexpr10_lopt50_10_2159,0.02359972036742323,0.02465118649672136,0.03191001556616569,"(0.00011, -0.00086)","(0.0001, -0.001)","(0.00153, 0.00065)"
20230821175234_satd_lexpr10_lopt50_10_4816,0.02516104491713635,0.02708271199713857,0.032348637979055156,"(0.00057, 0.00034)","(0.00098, 0.00062)","(0.00178, 0.00249)"
20230821175256_satd_lexpr10_lopt50_10_6398,0.011325860394848574,0.013538528200269611,0.011240802074590243,"(0.00068, 0.00104)","(0.00118, 0.00156)","(0.00187, 0.00206)"
20230822092952_satd_lexpr10_lopt50_10_6041,0.019087450150352268,0.022993038572912173,0.018283641951254953,"(0.0004, 0.00025)","(0.00077, 0.00031)","(0.00066, -0.00031)"
20230822093001_satd_lexpr10_lopt50_10_0108,0.02929301081502391,0.02988794806400865,0.0325059162453368,"(0.00032, -0.00055)","(0.00068, -0.00039)","(0.00157, 0.00092)"
20230822093012_satd_lexpr10_lopt50_10_9504,0.01943751335262589,0.020970542523433226,0.022948694422589868,"(0.0001, 2e-05)","(0.00031, 0.00024)","(0.00056, 0.0)"
